Ref;Nombre;Descripcion;Departamento;Ciudad;Horario;Remuneracion;Usuario;TipoPublicacion;FechaAlta;Estado;CompraPaquete;Imagen;Visitas
O1;Desarrollador Frontend;Únete a nuestro equipo de desarrollo frontend y crea experiencias de usuario excepcionales.;Montevideo;Montevideo;09:00 - 18:00;90000;EcoTech;Premium;30/09/2023;Confirmada;Básico;https://blfw.short.gy/dCL8Rs;5
O2;Estratega de Negocios;Forma parte de nuestro equipo de estrategia y contribuye al crecimiento de las empresas clientes.;Maldonado;Punta del Este;08:00 - 17:00;80000;GlobalHealth;Estandar;29/09/2023;Confirmada;SP;https://blfw.short.gy/Jn1Sc0;10
O3;Diseñador UX/UI;Trabaja en colaboración con nuestro talentoso equipo de diseño para crear soluciones impactantes.;Colonia;Rosario;14:00 - 18:00;65000;FusionTech;Estandar;29/10/2023;Confirmada;SP;https://blfw.short.gy/geZ5Of;0
O4;Analista de Datos;Ayuda a nuestros clientes a tomar decisiones informadas basadas en análisis y visualizaciones de datos.;Maldonado;Maldonado;09:00 - 13:00;40000;ANTEL;Premium;19/10/2023;Ingresada;SP;https://blfw.short.gy/HkK9x8;15
O5;Content Manager;Gestiona y crea contenido persuasivo y relevante para impulsar la presencia en línea de nuestros clientes.;Montevideo;Montevideo;18:00 - 22:00;10000;MIEM;Destacada;20/10/2023;Finalizada;SP;https://blfw.short.gy/CtUQI8;20
O6;Soporte Técnico;Ofrece un excelente servicio de soporte técnico a nuestros clientes, resolviendo problemas y brindando soluciones.;Lavalleja;Minas;09:00 - 18:00;30000;TechSolutions;Basica;02/11/2023;Confirmada;Destacado;https://blfw.short.gy/6VL8Jh;25
O7;A. de Marketing Digital;Únete a nuestro equipo de marketing y trabaja en estrategias digitales innovadoras.;Flores;Flores;10:00 - 19:00;80000;EcoTech;Premium;21/09/2023;Confirmada;SP;https://blfw.short.gy/mrm13L;30
O8;Contador Senior;Únete a nuestro equipo contable y ayuda en la gestión financiera de la empresa.;Colonia;Colonia Suiza;08:30 - 17:30;100000;GlobalHealth;Destacada;04/11/2023;Rechazada;SP;https://blfw.short.gy/ugyHy1;35
O9;Técnico/a Básico Red;RÉGIMEN DE CONTRATO EN FUNCION PUBLICA EN UN TODO DE ACUERDO A LA NORMATIVA VIGENTE (LEY 16.127 DE 7 DE AGOSTO DE 1990 ART. 1° LITERAL A) Y B) CON LA MODIFICACIÓN INTRODUCIDA POR EL ART. 11 DE LA LEY 17.930 DE 19 DE DICIEMBRE DE 2005).;Paysandú;Paysandú;09:00 - 17:00;40000;ANTEL;Premium;29/10/2023;Confirmada;SP;https://blfw.short.gy/JCoBHX;40
O10;Desarrollador de Software Senior;Únete a nuestro equipo y lidera proyectos de desarrollo de software sostenible y ecológico. Impulsa la innovación y contribuye a un futuro más verde.;Montevideo;Montevideo;09:00 - 16:00;123000;EcoTech;Destacada;04/11/2023;Ingresada;Básico;https://blfw.short.gy/QNGPfA;45
O11;Desarrollador de Software Full Stack;Únete a nuestro equipo para crear soluciones de software personalizadas de extremo a extremo. Colabora en proyectos emocionantes y desafiantes.;Río Negro;Fray Bentos;04:00 - 13:00;135000;TechSolutions;Premium;25/10/2023;Ingresada;SP;https://blfw.short.gy/R1QOzz;50
O12;Gerente de Proyecto;Únete a nuestro equipo de gestión de proyectos y lidera la entrega exitosa de soluciones de software personalizadas. Colabora con equipos multidisciplinarios y clientes exigentes.;Montevideo;Montevidoe;04:00 - 12:00;230000;TechSolutions;Destacada;05/11/2023;Confirmada;SP;https://blfw.short.gy/h6Noc6;55
O13;Ingeniero de Calidad de Software;Asegura la calidad de nuestros productos de software sostenibles. Únete a nosotros para garantizar un impacto positivo en el medio ambiente.;Montevideo;Montevideo;14:00 - 18:00;60000;EcoTech;Premium;01/11/2023;Ingresada;SP;https://blfw.short.gy/JdpZ71;7
